No,Inglés ,Español ,Genero,Inventores,No. De inventore/Patente,Mujeres/Patente,Hombres/Patente,Register IMPI,Fecha de presentación ,TAE (Año),Estatus ,No. Inventores/Proyecto ,No. Hombres/Proyecto,No. Mujeres/Proyecto ,Número de ideas / Proyecto ,Aportación complementaria a sueldos y salarios / Proyecto,Servicios Externos y comerciales ,Servicios del IMPI,Monto total aprobado / Proyecto,N. de cesiones 
6.00,Lift-Gate Obstacle Detection Using Existent Rear Camera ,Detección de Obstaculos en Puerta Levadiz Utilizando la Camara Trasera Existente ,H,Roberto Ramirez Marin,3.00,0.00,3.00,MX/a/2014/013717,11/11/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
6.00,Lift-Gate Obstacle Detection Using Existent Rear Camera ,Detección de Obstaculos en Puerta Levadiz Utilizando la Camara Trasera Existente ,H,Christian Esau Cortés Rodriguez ,3.00,0.00,3.00,MX/a/2014/013717,11/11/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
6.00,Lift-Gate Obstacle Detection Using Existent Rear Camera ,Detección de Obstaculos en Puerta Levadiz Utilizando la Camara Trasera Existente ,H,German Quiñonez Felix,3.00,0.00,3.00,MX/a/2014/013717,11/11/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
7.00,Portable Low Cost System For Vehicular Emissions Estimation,Sistema para la Estimación de las Emisiones de Gases Contaminantesde un Motor de Combustión Intena de un Vehículo Automovil,H,Ernesto Gonzalez Sanson,3.00,0.00,3.00,MX/a/2014/016093,19/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
7.00,Portable Low Cost System For Vehicular Emissions Estimation,Sistema para la Estimación de las Emisiones de Gases Contaminantesde un Motor de Combustión Intena de un Vehículo Automovil,H,Jaime Adrian Orozco Valera ,3.00,0.00,3.00,MX/a/2014/016093,19/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
7.00,Portable Low Cost System For Vehicular Emissions Estimation,Sistema para la Estimación de las Emisiones de Gases Contaminantesde un Motor de Combustión Intena de un Vehículo Automovil,H,Jose Humberto de la Cruz Alcantar ,3.00,0.00,3.00,MX/a/2014/016093,19/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
8.00,Infinity Tunel Gauge ,Dispositivo de Ilumincación Óptico de Efecto Tunel Infinito,H,Daniel Alejandro Laguna Chavez ,3.00,0.00,3.00,MX/a/2014/013351,03/11/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
8.00,Infinity Tunel Gauge ,Dispositivo de Ilumincación Óptico de Efecto Tunel Infinito,H,Salvador Montero Montes de Oca ,3.00,0.00,3.00,MX/a/2014/013351,03/11/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
8.00,Infinity Tunel Gauge ,Dispositivo de Ilumincación Óptico de Efecto Tunel Infinito,H,Jose Arturo Sanchez López ,3.00,0.00,3.00,MX/a/2014/013351,03/11/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
9.00,Vehicule Internal Safety Cameras ,Camara de Seguridad Interna de un Vehículo,H,David Fernandez Aguilera ,1.00,0.00,1.00,MX/a/2014/002667,06/03/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
10.00,Touchless Control of Telematics Module ,Control sin Contacto de un Modulo Telematico ,H,Kevin Adonal Madrid Lopez ,4.00,1.00,3.00,MX/a/2014/015385,15/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
10.00,Touchless Control of Telematics Module ,Control sin Contacto de un Modulo Telematico ,H,Armando Aharon Campos Gómez ,4.00,1.00,3.00,MX/a/2014/015385,15/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
10.00,Touchless Control of Telematics Module ,Control sin Contacto de un Modulo Telematico ,M,Alejandra Enrique Perez ,4.00,1.00,3.00,MX/a/2014/015385,15/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
10.00,Touchless Control of Telematics Module ,Control sin Contacto de un Modulo Telematico ,H,Ruben Alejandro Diaz Jimenez ,4.00,1.00,3.00,MX/a/2014/015385,15/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
11.00,Touch Sensor Keyless Entry Fob,Sistema de Control de Acceso Remoto para Vehículos Activados por Gestos Dactilares con Tecnología de Botones Sensibles al Tacto ,H,Ruben Martinez Sanchez ,3.00,0.00,3.00,MX/a/2014/015506,16/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
11.00,Touch Sensor Keyless Entry Fob,Sistema de Control de Acceso Remoto para Vehículos Activados por Gestos Dactilares con Tecnología de Botones Sensibles al Tacto ,H,Jose Refugio Rodriguez Barba,3.00,0.00,3.00,MX/a/2014/015506,16/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
11.00,Touch Sensor Keyless Entry Fob,Sistema de Control de Acceso Remoto para Vehículos Activados por Gestos Dactilares con Tecnología de Botones Sensibles al Tacto ,H,Juan Carlos Martinez Trejo ,3.00,0.00,3.00,MX/a/2014/015506,16/12/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
12.00,Smart Startup ,Encendido Inteligente ,H,Rogelio Manuel Zamora Sanchez ,1.00,0.00,1.00,MX/a/2014/012682,28/10/2014,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
13.00,Antithief Wheel System With Lug Nut Presence System ,Sistema Antirrobo para Ruedas con Ssitema de Presencia de Tuercas ,H,Jose Refugio Rodriguez Barba,3.00,0.00,3.00,MX/a/2015/002595,25/02/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
13.00,Antithief Wheel System With Lug Nut Presence System ,Sistema Antirrobo para Ruedas con Ssitema de Presencia de Tuercas ,H,Ulises Corrales Salgado ,3.00,0.00,3.00,MX/a/2015/002595,25/02/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
13.00,Antithief Wheel System With Lug Nut Presence System ,Sistema Antirrobo para Ruedas con Ssitema de Presencia de Tuercas ,H,Carlos Samuel Gonzalez Ruiz ,3.00,0.00,3.00,MX/a/2015/002595,25/02/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
14.00,Magnetic Tire Shield ,Escudo protector de Neumaticos ,H,Jorge Macias,4.00,0.00,4.00,MX/a/2015/007445,11/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
14.00,Magnetic Tire Shield ,Escudo protector de Neumaticos ,H,Luis Ramirez,4.00,0.00,4.00,MX/a/2015/007445,11/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
14.00,Magnetic Tire Shield ,Escudo protector de Neumaticos ,H,Enrique Rodriguez Toscano ,4.00,0.00,4.00,MX/a/2015/007445,11/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
14.00,Magnetic Tire Shield ,Escudo protector de Neumaticos ,H,Carlos Valente Avalos ,4.00,0.00,4.00,MX/a/2015/007445,11/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
15.00,Conducting And Transparent Thin Film Based on a Semidonductor Compund (ZNO + Ga2O3),Electrodo con una Pelicula Conductora y Transparente Basada en un Compuesto Semiconductor,H,Miguel Davalos Santana ,2.00,1.00,1.00,MX/a/2015/008323,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
15.00,Conducting And Transparent Thin Film Based on a Semidonductor Compund (ZNO + Ga2O3),Electrodo con una Pelicula Conductora y Transparente Basada en un Compuesto Semiconductor,M,Wendy Ley ,2.00,1.00,1.00,MX/a/2015/008323,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
16.00,Key Locator System ,Interfaz de Usuario de Control Remoto,H,Ernesto Morales ,4.00,0.00,4.00,MX/a/2015/008324,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
16.00,Key Locator System ,Interfaz de Usuario de Control Remoto,H,Marco Vega ,4.00,0.00,4.00,MX/a/2015/008324,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
16.00,Key Locator System ,Interfaz de Usuario de Control Remoto,H,David Nuño Correa ,4.00,0.00,4.00,MX/a/2015/008324,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
16.00,Key Locator System ,Interfaz de Usuario de Control Remoto,H,Sergio Cruz ,4.00,0.00,4.00,MX/a/2015/008324,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
17.00,Gas Transfer System ,Sistema de Tranferencia de Combustible ,H,Juan Guerrero,4.00,0.00,4.00,MX/a/2015/008325,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
17.00,Gas Transfer System ,Sistema de Tranferencia de Combustible ,H,Alan Blanco,4.00,0.00,4.00,MX/a/2015/008325,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
17.00,Gas Transfer System ,Sistema de Tranferencia de Combustible ,H,Omar Ramirez,4.00,0.00,4.00,MX/a/2015/008325,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
17.00,Gas Transfer System ,Sistema de Tranferencia de Combustible ,H,Francisco Leyva ,4.00,0.00,4.00,MX/a/2015/008325,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
18.00,Control Remotely HMI Interface ,Tapa de Puntero como Indicador de Advertencia ,H,Juan Jose Gonzalez ,1.00,0.00,1.00,MX/a/2015/008326,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
19.00,NFC Vehícule Configuration System ,Sistema de Configuració de Vehículo por Comunicación de Campo Cercano,H,Carlos Llamas ,4.00,0.00,4.00,MX/a/2015/008327,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
19.00,NFC Vehícule Configuration System ,Sistema de Configuració de Vehículo por Comunicación de Campo Cercano,H,Eduardo Ayala ,4.00,0.00,4.00,MX/a/2015/008327,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
19.00,NFC Vehícule Configuration System ,Sistema de Configuració de Vehículo por Comunicación de Campo Cercano,H,Calor Burgoin,4.00,0.00,4.00,MX/a/2015/008327,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
19.00,NFC Vehícule Configuration System ,Sistema de Configuració de Vehículo por Comunicación de Campo Cercano,H,Victor Armenta ,4.00,0.00,4.00,MX/a/2015/008327,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
20.00,Pointer Cap as Warning Indicator ,Sistema de Localizador de Llave ,H,Victor Gil-Paedes ,2.00,0.00,2.00,MX/a/2015/008328,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
20.00,Pointer Cap as Warning Indicator ,Sistema de Localizador de Llave ,H,Jose Francisco Richardt Osuna ,2.00,0.00,2.00,MX/a/2015/008328,25/06/2015,2014,Abandonada,53.00,50.00,3.00,20.00,"$200,000.00","$600,000.00",$0.00,"$800,000.00",54.00
21.00,Universal RF ID Repository Transmitter Device ,Sistema Universal de Almacenaje y Transmisión de Identificaciones RFID ,H,Jaime Herrero Gallardo ,3.00,1.00,2.00,MX/a/2015/007684,16/06/2015,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
21.00,Universal RF ID Repository Transmitter Device ,Sistema Universal de Almacenaje y Transmisión de Identificaciones RFID ,M,Mariana Torres Calderon ,3.00,1.00,2.00,MX/a/2015/007684,16/06/2015,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
21.00,Universal RF ID Repository Transmitter Device ,Sistema Universal de Almacenaje y Transmisión de Identificaciones RFID ,H,Rene Pacheco ,3.00,1.00,2.00,MX/a/2015/007684,16/06/2015,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
22.00,Alert System of car Collision,Sistema de Alerta de Colisión de Vehículo ,M,Rocio Edith Olivos Garcia ,3.00,2.00,1.00,MX/a/2015/017722,18/12/2015,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
22.00,Alert System of car Collision,Sistema de Alerta de Colisión de Vehículo ,M,Astrid Carrera Gil ,3.00,2.00,1.00,MX/a/2015/017722,18/12/2015,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
22.00,Alert System of car Collision,Sistema de Alerta de Colisión de Vehículo ,H,Sergio Federico Salazar Luquin,3.00,2.00,1.00,MX/a/2015/017722,18/12/2015,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
23.00,Black Panel Felxible Color Gauge ,Indicador Flexible de Color para Tablero Negro ,H,Victor Manuel Gil Paredes ,2.00,0.00,2.00,MX/a/2015/017723,18/12/2015,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
23.00,Black Panel Felxible Color Gauge ,Indicador Flexible de Color para Tablero Negro ,H,Jose Francisco Richardt Osuna ,2.00,0.00,2.00,MX/a/2015/017723,18/12/2015,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
24.00,Automatic Information On Cluster Warnings Signs ,Información Automatica sobre Señales de Advertencia de Cuadro de Instrumentos ,H,Carlos Manuel Gil Paredes ,2.00,0.00,2.00,MX/a/2015/017725,18/12/2015,2015,Otorgada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
24.00,Automatic Information On Cluster Warnings Signs ,Información Automatica sobre Señales de Advertencia de Cuadro de Instrumentos ,H,Jose Juan Rocha Hernandez ,2.00,0.00,2.00,MX/a/2015/017725,18/12/2015,2015,Otorgada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
25.00,Variable Capacitive Sensor for Cluster Pointer Position Using PCB,Sensor Capacitivo Variable paa Posiiconar el Puntero del Cuadro de Instrumentos Usando una Placa de Circuito Variable ,H,Jorge Alberto Paredes Moreno ,1.00,0.00,1.00,MX/a/2015/017726,18/12/2015,2015,Abandonada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
26.00,Inside Vehícule Rear-View System Using Head-Up Display Techonology,Sistema de Visión Trasera Dentro de Vehículo Utilizando Tecnología de Visualziación Cabeza Arriba,H,Ojeda Ross Daniel ,1.00,0.00,1.00,MX/a/2015/017727,18/12/2015,2015,Abandonada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
27.00,Personal Drive Log (PDL) System ,Sistema de Registro de Manejo Personal ,H,Gerardo Gabriel Nava Gomez ,1.00,0.00,1.00,MX/a/2015/017728,18/12/2015,2015,Abandonada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
28.00,Atomatic Music Volume Adjustment System Based On Passengers Conversation ,Sistema de Ajuste de Volumen Automatico Basado en la Conversación de los Pasajeros ,M,Paulina Gallardo Gutierrez ,3.00,2.00,1.00,MX/a/2015/017729,18/12/2015,2015,Abandonada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
28.00,Atomatic Music Volume Adjustment System Based On Passengers Conversation ,Sistema de Ajuste de Volumen Automatico Basado en la Conversación de los Pasajeros ,M,Lesly Guzmán Durán ,3.00,2.00,1.00,MX/a/2015/017729,18/12/2015,2015,Abandonada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
28.00,Atomatic Music Volume Adjustment System Based On Passengers Conversation ,Sistema de Ajuste de Volumen Automatico Basado en la Conversación de los Pasajeros ,H,Christopherson Tadeo Torres Martinez ,3.00,2.00,1.00,MX/a/2015/017729,18/12/2015,2015,Abandonada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
29.00,Wireless Technology Key with Feedback System ,Sistema de Retroalimentación con Llave de Tecnología Inalambrica ,H,Jose Luis Diaz Muñoz,3.00,1.00,2.00,MX/a/2015/017734,18/12/2015,2015,Otorgada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
29.00,Wireless Technology Key with Feedback System ,Sistema de Retroalimentación con Llave de Tecnología Inalambrica ,H,Omar Ramirez Contreras ,3.00,1.00,2.00,MX/a/2015/017734,18/12/2015,2015,Otorgada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
29.00,Wireless Technology Key with Feedback System ,Sistema de Retroalimentación con Llave de Tecnología Inalambrica ,M,Jessica Grissel Fernandez Ruiz ,3.00,1.00,2.00,MX/a/2015/017734,18/12/2015,2015,Otorgada ,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
30.00,Phone Cal Detector ,Detector de Llamadas Telefonicas ,H,Cesar Alejandro Hernandez Navarro,3.00,0.00,3.00,MX/a/2016/002454,25/02/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
30.00,Phone Cal Detector ,Detector de Llamadas Telefonicas ,H,Miguel Ernesto Cota Gonzalez ,3.00,0.00,3.00,MX/a/2016/002454,25/02/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
30.00,Phone Cal Detector ,Detector de Llamadas Telefonicas ,H,Javier Davalos Santana,3.00,0.00,3.00,MX/a/2016/002454,25/02/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
31.00,Frontal Opto-Magnetic Connector ,Conector Frontal Opto-Magnetico ,H,Joaquin Adrian Espino Orozco ,3.00,0.00,3.00,MX/a/2016/002456,25/02/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
31.00,Frontal Opto-Magnetic Connector ,Conector Frontal Opto-Magnetico ,H,Hector Salvador Espino Orozco,3.00,0.00,3.00,MX/a/2016/002456,25/02/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
31.00,Frontal Opto-Magnetic Connector ,Conector Frontal Opto-Magnetico ,H,Gustavo Arreola Ochoa ,3.00,0.00,3.00,MX/a/2016/002456,25/02/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
32.00,Early Crash Detection by Steering Wheel Pressure Sensor ,Detección Temprana de Choque Mediante Sensor de Presión de Mano en Volante,H,Eduardo Alejandro Hernandez Delgadillo,3.00,1.00,2.00,MX/a/2016/002737,02/03/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
32.00,Early Crash Detection by Steering Wheel Pressure Sensor ,Detección Temprana de Choque Mediante Sensor de Presión de Mano en Volante,M,Jessica Grissel Fernandez Ruiz ,3.00,1.00,2.00,MX/a/2016/002737,02/03/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
32.00,Early Crash Detection by Steering Wheel Pressure Sensor ,Detección Temprana de Choque Mediante Sensor de Presión de Mano en Volante,H,Fernando Vazquez Sanchez ,3.00,1.00,2.00,MX/a/2016/002737,02/03/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
33.00,Emergency Vehícule Detection Via Car to Car Radiofrecuency Alerts ,Detección de Vehíuclo de Emergencia por Medio de Alertas de Radiofrecuencia de Vehículo a Vehículo ,H,Fernandez Garcia Miguel Alejandro ,3.00,0.00,3.00,MX/a/2016/002834,03/03/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
33.00,Emergency Vehícule Detection Via Car to Car Radiofrecuency Alerts ,Detección de Vehíuclo de Emergencia por Medio de Alertas de Radiofrecuencia de Vehículo a Vehículo ,H,Caamaño Salgado Victor Manuel ,3.00,0.00,3.00,MX/a/2016/002834,03/03/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
33.00,Emergency Vehícule Detection Via Car to Car Radiofrecuency Alerts ,Detección de Vehíuclo de Emergencia por Medio de Alertas de Radiofrecuencia de Vehículo a Vehículo ,H,Rodriguez Torres Jesus Alfonso,3.00,0.00,3.00,MX/a/2016/002834,03/03/2016,2015,Abandonada,51.00,43.00,8.00,23.00,"$345,000.00","$920,000.00",$0.00,"$1,265,000.00",54.00
